Gene,GSM94019,GSM94020,GSM94021,GSM94022,GSM94023,GSM94024,GSM94025,GSM94026,GSM94027,GSM94028,GSM94029,GSM94030,GSM94031,GSM94032,GSM94033,GSM94034,GSM94035,GSM94036,GSM94037,GSM94038,GSM94039,GSM94040,GSM94041,GSM94042,GSM94043,GSM94044,GSM94045,GSM94046,GSM94047,GSM94048,GSM94049,GSM94050,GSM94051,GSM94052,GSM94053,GSM94054,GSM94055,GSM94056,GSM94057,GSM94058,GSM94059,GSM94060,GSM94061,GSM94062,GSM94063,GSM94064,GSM94065,GSM94066,GSM94067,GSM94068,GSM94069,GSM94070,GSM94071,GSM94072,GSM94073,GSM94074,GSM94075,GSM94155,GSM94156,GSM94157,GSM94160,GSM94161,GSM94162,GSM94163,GSM94164,GSM94165,GSM94166,GSM94167,GSM94168,GSM94169,GSM94170,GSM94171,GSM94172,GSM94173,GSM94174,GSM94175,GSM94176,GSM94177,GSM94178,GSM98767,GSM98768,GSM98769,GSM98770,GSM98771,GSM98772,GSM98773,GSM98774,GSM98775,GSM98776,GSM98777,GSM98778,GSM98779,GSM98780,GSM98781,GSM98782,GSM98783,GSM98784
ABCF1,7.43134,7.4764,7.09376,7.24317,7.17622,7.35168,7.02358,7.30848,7.20957,7.07321,7.31983,7.38578,7.24356,7.22916,7.30722,7.29911,7.26726,6.923,7.47814,7.37291,7.32384,7.65818,7.72447,7.92447,7.56646,7.38026,7.46993,7.47697,7.42755,7.68228,7.58817,7.56836,7.79255,7.80555,7.26987,7.58046,7.47654,7.79353,7.30996,7.53555,7.43804,7.119,7.31024,7.46657,7.72412,7.15627,7.5084,7.63873,7.71117,7.77137,7.39786,7.16739,7.57829,7.4676,7.58846,7.29164,7.70053,7.9648,7.099,7.7373,7.52628,8.06634,7.63568,7.78979,7.43335,7.68789,7.61345,7.43843,7.3301,7.47127,7.61521,7.50899,7.3616,7.42343,7.67459,7.80297,7.64063,7.57008,7.67803,7.50361,7.42228,7.70145,7.33552,7.71968,7.70823,7.58944,7.85357,7.72859,7.68775,7.78477,7.61948,7.70161,7.70447,7.49774,7.47207,7.581,7.79488
ARF1,5.7546,4.96662,6.94634,6.63455,6.45048,6.38672,6.98375,6.76606,7.52138,4.52945,7.31895,6.33514,5.39276,7.5291,5.15731,7.08662,4.97295,7.32435,8.0633,4.75336,4.13666,7.59522,5.86103,4.61831,5.21672,4.47587,7.56878,7.41394,4.76235,6.43995,6.50317,7.18936,5.81442,6.81007,4.5275,8.585,7.40329,5.71715,4.31885,7.08412,7.49595,4.62895,7.37227,4.79712,4.98262,4.50563,7.00866,3.99328,7.75377,4.15952,7.68329,4.67842,7.06971,5.37416,5.06249,6.9718,6.59999,8.07496,4.35141,7.16076,7.67159,6.49033,6.76037,4.69049,6.65749,7.72024,6.85412,4.71443,6.84164,5.64945,7.15498,6.81789,7.37817,5.10831,4.76752,5.00825,6.3561,6.42134,4.6455,6.15228,6.887,7.46559,7.634,5.25836,6.55976,5.9293,6.07487,6.62725,6.28753,4.54103,6.99351,8.00125,7.03102,6.57112,7.8845,7.45106,7.58996
ARF3,8.85474,8.32219,8.67016,8.47606,8.90974,8.99531,8.73272,7.99064,8.80388,6.86482,8.79305,8.53164,7.99546,8.72453,8.07464,8.82042,8.39039,8.72892,9.00849,7.43947,7.22912,8.9545,9.17989,8.05823,7.93425,8.17891,8.69329,8.85403,8.637,8.875,8.7107,9.24416,8.9796,9.29075,7.5235,9.13519,8.91716,8.73359,8.00731,8.63509,8.8804,7.067,9.07166,7.94726,8.72592,8.07526,9.19996,7.98241,9.0179,8.32796,8.93125,7.67478,9.53933,8.35197,8.89775,8.48893,9.27441,9.10806,7.57946,8.96621,8.89711,9.0766,8.71364,8.66303,8.87768,8.92005,9.07603,7.89005,8.67977,8.4271,9.06384,8.91512,8.90975,8.3139,8.84873,8.66693,8.85058,8.95864,8.06882,9.06872,8.88978,9.11901,8.73173,8.62613,8.98633,9.08467,8.95969,8.95129,8.86319,8.49917,8.90489,8.81254,8.88424,8.75436,9.11539,8.98396,9.36841
ATP6V0B,8.1145,7.96369,8.25847,8.60262,8.25494,8.25996,8.09875,8.45007,8.11914,6.98145,8.18256,8.14988,8.82868,8.30835,7.83827,8.0403,8.03309,7.81706,8.5305,7.3222,6.90934,8.32191,8.5458,8.7685,7.82927,7.5864,8.44938,8.30157,8.5231,8.66497,8.39355,8.03753,8.36798,8.67501,6.60172,8.66953,8.29907,8.69144,7.02973,8.83014,9.09601,6.45588,8.33162,6.8844,8.45158,7.40101,8.34809,7.51019,8.82862,8.26576,8.16953,7.02769,8.50062,8.09252,8.205,8.26354,8.40069,8.69634,7.00632,8.41395,8.48898,8.4011,8.61551,8.17607,8.28429,8.23877,8.79802,7.76354,8.75065,8.49717,8.61398,8.28185,8.10259,7.92837,8.53551,8.43182,8.00046,8.26861,7.84413,8.41913,8.55774,9.30665,8.24023,7.983,8.44218,8.08143,8.4406,8.18782,8.32466,8.27661,8.2168,8.56133,8.34438,8.27843,8.49979,8.2632,8.74509
BAD,5.73403,5.96669,5.72949,5.95538,6.47929,5.83172,6.22538,5.55827,6.12085,5.275,5.89214,6.1896,6.21982,5.64259,5.63465,6.07909,5.56923,5.84087,6.21911,5.68755,6.12304,6.38657,7.01817,6.12465,6.57176,6.35973,6.73693,6.10779,6.30925,6.82919,6.8248,6.38574,6.57053,6.88818,5.76415,5.99721,6.33508,6.17434,5.28217,6.83461,6.15881,5.29661,6.35067,5.2806,6.32251,5.70801,6.09007,5.67629,6.20593,5.75832,5.95943,5.2183,6.19345,6.03123,5.68439,6.5714,6.44216,5.7513,5.99656,6.19867,6.07806,6.22134,6.58238,6.17687,6.3118,6.77021,6.53892,6.26897,6.73278,5.85043,6.0962,6.79651,6.50473,5.77034,6.0131,6.31976,5.73889,6.37202,5.75841,6.34728,5.76865,7.01053,6.42905,6.33167,6.30915,6.00027,6.62735,6.20997,6.3244,6.21586,6.29854,6.36806,6.33193,6.21974,6.22312,6.52523,6.39068
C1D,3.9975,3.50331,5.0805,3.98932,4.21616,4.14952,4.98078,3.61869,4.07652,2.89474,4.0783,4.47388,3.62563,4.20041,4.0392,4.04821,3.87683,4.16313,4.3548,3.85398,3.50973,4.24055,4.84262,3.77616,4.29473,3.95097,4.95165,4.14345,5.27823,4.87662,4.18698,5.00217,4.14906,5.25561,3.91408,4.12804,4.91399,4.90688,3.35992,5.24104,5.09202,3.51593,5.07347,3.91014,4.27886,3.81518,4.59013,3.98242,4.54224,3.59081,4.70715,3.44326,5.01918,4.92265,4.32242,5.08127,5.37974,4.29388,3.07858,4.26606,4.63596,4.70936,4.38363,4.01324,4.58318,4.38424,4.87515,3.9944,4.92852,4.11973,4.21699,4.79552,4.70733,3.63879,4.79083,4.05229,4.06029,4.42151,3.95672,4.56883,4.85081,4.12521,4.23385,3.94796,4.29171,4.2743,4.10363,5.05192,4.5554,4.26756,4.12063,4.42131,4.55915,4.08041,4.59747,4.20686,4.7564
CANX,6.36682,5.45052,8.52146,7.62272,7.23061,7.54183,8.02151,6.5381,8.959,4.37952,8.38372,6.54305,5.57328,7.94218,5.7056,7.78602,6.02785,8.47524,8.49041,5.44326,4.75177,7.9535,7.30407,5.57858,5.88239,5.40633,8.14125,9.00578,5.8206,7.4371,7.29416,8.3527,6.50889,8.08032,6.04975,8.91215,8.10244,6.61207,6.40708,7.86161,8.30681,4.88977,8.18258,5.52631,6.36365,5.10284,8.5759,5.19485,9.18908,5.28272,8.58314,5.33704,8.48052,7.27198,7.11531,7.99783,8.08173,8.49563,5.3648,7.82206,8.49292,7.78876,7.04927,5.3297,7.77279,7.99882,7.77647,5.59133,7.67604,6.22547,7.99844,7.98839,8.60206,5.63613,6.42819,5.7945,7.48202,6.82111,5.2743,7.07646,7.79038,6.80372,8.60786,5.68709,7.30246,7.49073,6.91952,7.83366,7.19795,6.08322,8.16478,8.89925,7.52774,7.63458,8.7923,8.0796,9.34254
CAPNS1,9.3076,8.28331,9.90053,9.7957,10.0793,10.1183,9.92038,9.81435,10.1158,6.98843,10.2071,9.93666,9.43915,10.0452,9.4888,10.0278,9.06996,10.0106,10.3103,7.33482,7.29548,10.1593,10.0735,8.62793,9.30666,8.77242,10.1821,9.86265,9.39515,9.96588,10.177,10.2469,9.81083,10.1023,6.85762,10.2743,10.1919,9.79924,7.94325,10.1937,9.80297,7.54034,10.1952,7.49948,9.40095,8.06001,10.405,8.08773,10.5116,8.59265,10.2929,7.55926,10.149,9.06082,9.56752,9.93904,10.2064,9.90998,7.28465,10.3802,10.187,10.2862,10.0948,9.14266,10.0147,10.1996,10.1994,9.28119,10.1344,9.50564,10.3599,10.1519,10.1364,8.93396,9.38788,9.82458,9.8619,9.86707,8.58964,9.82542,9.79825,10.4554,9.83071,9.64778,9.93366,10.0342,10.0381,10.1439,9.79476,9.65141,10.259,10.5841,9.82383,9.63386,10.5851,10.0925,10.5472
CBX3,7.61011,7.18402,8.0771,7.10665,7.57556,7.70749,8.13931,7.262,7.87195,6.19692,7.36014,7.92148,6.65689,7.15358,7.32472,7.63656,7.58725,7.23449,7.95752,7.14318,6.4106,6.97636,8.2164,7.18566,7.00002,7.562,7.67539,7.54022,8.06573,8.20945,7.70715,8.13437,7.49393,8.05863,5.24667,7.19921,8.04584,7.66844,5.99302,8.24699,7.96419,5.66548,8.10036,6.09274,7.79163,6.23717,8.02388,7.17489,7.45308,6.82716,7.81239,5.89381,8.25857,7.95478,7.82883,7.96718,8.35483,7.74478,5.69654,7.71738,7.79763,7.60799,7.44434,7.54854,8.05296,7.58144,7.72749,7.55994,7.96091,7.73986,7.61937,8.29648,8.05387,6.90531,8.5798,7.54886,7.386,8.02804,7.25293,8.06021,7.74239,7.43626,7.82554,7.37254,7.9229,7.76871,7.66528,7.60208,7.9358,7.73906,7.67342,7.88395,7.71129,7.72456,8.00411,7.53084,7.67543
CCL5,6.07943,6.59041,6.36715,5.57586,6.97828,6.13046,7.45104,7.35269,7.01251,7.23942,7.71305,7.09076,6.08306,6.12077,5.96628,5.90207,5.65628,6.1167,6.86137,6.52192,7.69544,6.48899,7.50355,8.79739,5.41662,6.55277,7.01984,6.58649,7.0002,7.34211,6.25626,6.63181,7.62416,9.26742,6.58685,6.89834,6.73994,6.73896,6.36583,6.80095,6.56768,6.59826,6.34458,7.08726,7.29231,5.90753,6.30878,6.88537,5.4513,6.79743,5.92886,5.76761,8.29945,8.76202,6.36144,6.93732,7.7398,8.56097,7.0304,7.59264,7.41933,7.06808,7.28608,7.21517,7.30432,6.11803,7.79138,6.49081,6.1942,7.48442,5.75156,6.51208,5.91642,6.78642,6.72437,5.89412,6.02131,8.09227,6.919,7.4463,6.20305,7.10763,7.04233,7.23938,6.35232,6.78284,5.39634,6.06073,7.31905,7.64393,6.68973,6.2198,6.99179,7.15825,6.34203,6.12651,6.44481
